"isbn","Price","shipping","Price + Shipping","Sold by","Shipped by","Position","Buybox","Date","Time"
"[1452179816","$27.66","$0.00","27.66","Windy Books","Windy Books","","No","2025_06_24","12_00_55"
"[1452179816","$27.66","$0.00","27.66","booksXpress","booksXpress","","No","2025_06_24","12_00_55"
"[1452179816","$31.94","$0.00","31.94","Sunrise Finds","Amazon.com","","No","2025_06_24","12_00_55"
"[1452179816","$29.30","$0.00","29.3","World Deals, USA","World Deals, USA","","No","2025_06_24","12_00_55"
"[1452179816","$34.80","$0.00","34.8","CE_BOOKHOUSE","Amazon.com","","No","2025_06_24","12_00_55"
"[1452179816","$38.91","$0.00","38.91","awesomebooksusa","awesomebooksusa","","No","2025_06_24","12_00_55"
"[1452179816","$40.00","$0.00","40.0","Amazon.com","Amazon.com","","No","2025_06_24","12_00_55"
"[1452179816","$40.42","$0.00","40.42","GrandEagleRetail","GrandEagleRetail","","No","2025_06_24","12_00_55"
"[1452179816","$40.44","$0.00","40.44","InfiniteBooks_USA","InfiniteBooks_USA","","No","2025_06_24","12_00_55"
"[1452179816","$40.98","$0.00","40.98","Bahamut Media","Bahamut Media","","No","2025_06_24","12_00_55"
"[0316440353","$27.44","$0.00","27.44","SummitPark Prints","Amazon.com","","No","2025_06_24","12_00_57"
"[0316440353","$27.64","$0.00","27.64","Amazon.com","Amazon.com","","No","2025_06_24","12_00_57"
"[0316440353","$31.04","$0.00","31.04","Ambis Enterprises","Ambis Enterprises","","No","2025_06_24","12_00_57"
"[0316440353","$35.05","$0.00","35.05","Publisher Direct","Publisher Direct","","No","2025_06_24","12_00_57"
"[0316440353","$35.63","$0.00","35.63","betterdeals2019","betterdeals2019","","No","2025_06_24","12_00_57"
"[0316440353","$32.24","$0.00","32.24","SuperBookDeals---","SuperBookDeals---","","No","2025_06_24","12_00_57"
"[0316440353","$36.24","$0.00","36.24","Amasinbooks","Amasinbooks","","No","2025_06_24","12_00_57"
"[0316440353","$36.35","$0.00","36.35","California Books US","California Books US","","No","2025_06_24","12_00_57"
"[0316440353","$28.99","$0.00","28.99","MT Rainier Store","MT Rainier Store","","No","2025_06_24","12_00_57"
"[0316440353","$40.74","$0.00","40.74","Heart & Sole Trading","Heart & Sole Trading","","No","2025_06_24","12_00_57"
"[0316440353","$37.47","$0.00","37.47","Anderson Family Library","Anderson Family Library","","No","2025_06_24","12_00_57"
"[130292530X","$33.94","$0.00","33.94","Amazon.com","Amazon.com","","No","2025_06_24","12_00_59"
"[130292530X","$27.10","$0.00","27.1","ShopSpell US","ShopSpell US","","No","2025_06_24","12_00_59"
"[130292530X","$23.12","$0.00","23.12","booksXpress","booksXpress","","No","2025_06_24","12_00_59"
"[130292530X","$23.12","$0.00","23.12","Windy Books","Windy Books","","No","2025_06_24","12_00_59"
"[130292530X","$23.39","$0.00","23.39","World Deals, USA","World Deals, USA","","No","2025_06_24","12_00_59"
"[130292530X","$24.62","$0.00","24.62","SuperBookDeals---","SuperBookDeals---","","No","2025_06_24","12_00_59"
"[130292530X","$24.63","$0.00","24.63","allnewbooks","allnewbooks","","No","2025_06_24","12_00_59"
"[130292530X","$30.22","$0.00","30.22","bargainbookstores-","bargainbookstores-","","No","2025_06_24","12_00_59"
"[130292530X","$32.48","$0.00","32.48","tabletopart","tabletopart","","No","2025_06_24","12_00_59"
"[130292530X","$32.70","$0.00","32.7","Amasinbooks","Amasinbooks","","No","2025_06_24","12_00_59"
"[130292530X","$32.71","$0.00","32.71","GrandEagleRetail","GrandEagleRetail","","No","2025_06_24","12_00_59"
